"","jurisdiction","year","state_population","murder_index","rape_index","robbery_index","agg_assault_index","total_violent_index","burglary_index","larceny_index","vehicle_theft_index","property_crime_index","crime_rate"
"32","NEW MEXICO",2001,1830935,5.40707343515745,46.4243678776144,147.192554623731,581.342319634504,780.366315571006,1067.8696949919,3080.72105235849,389.800839461805,4538.3915868122,5318.75790238321
"33","NEW YORK",2001,19084350,5.03029969582407,18.5806695014501,191.544380605051,298.469688514411,513.625038316736,421.287599525266,1725.58143190625,253.018834804434,2399.88786623595,2913.51290455268
"34","NORTH CAROLINA",2001,8206105,6.15395489090135,25.3835406688069,162.123199739706,299.447789176473,493.108484475887,1241.62437599811,2891.03051935114,300.349556823852,4433.00445217311,4926.11293664899
"35","NORTH DAKOTA",2001,636550,1.09967795145707,25.7638834341371,9.4258110124892,43.044536957034,79.3339093551174,340.114680700652,1819.65281596104,170.607179326055,2330.37467598775,2409.70858534286
"36","OHIO",2001,11389785,3.96846823710895,39.2105733339128,151.00372834079,157.211044809011,351.393814720822,850.850125792541,2598.60919235965,370.76204686919,3820.22136502138,4171.6151797422
"37","OKLAHOMA",2001,3469577,5.33206209287184,42.8294284865273,79.1450946325734,383.591429156926,510.898014368899,996.461528307341,2724.74137337203,362.263180785439,4083.46608246481,4594.36409683371
"38","OREGON",2001,3473441,2.41835113940326,33.7993361626122,79.1434200264234,191.251269274475,306.612376602913,767.193109081168,3542.13588196834,427.299614416943,4736.62860546645,5043.24098206937
"39","PENNSYLVANIA",2001,12303104,5.29134761439065,28.1798804594353,142.240527268566,234.201060155226,409.912815497617,441.717797394869,1815.39552945338,290.276340019559,2547.38966686781,2957.30248236543
"40","RHODE ISLAND",2001,1059659,3.68042927017088,39.257912215156,93.0488015484227,173.357655623177,309.344798656926,643.980752298617,2253.08330321358,475.90781562748,3372.97187113968,3682.3166697966
"41","SOUTH CAROLINA",2001,4062125,8.1238268147829,43.5486352586393,147.385912545773,616.130719758747,815.189094377943,1048.98298304459,3120.09108533095,411.139489799058,4580.2135581746,5395.40265255254
"42","SOUTH DAKOTA",2001,758324,0.923088284163498,46.2862839630554,13.5825847526915,93.6275259651547,154.419482965065,407.081933316102,1657.73468860276,107.473850227607,2172.29047214647,2326.70995511154
"43","TENNESSEE",2001,5749398,7.35729201561624,38.1953032300077,177.740347772062,520.715386202173,744.008329219859,1038.4565479725,2870.12657673029,491.738439398351,4400.32156410115,5144.32989332101
